/tmp/nix-shell.wI2XoQ/RenderDoc/textured_terrain_test_2026.09.17_11.30.41_frame10.rdc - Frame #10

 EID  | Event                                                                                                              | Action #
496   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 103   
498   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 104   
500   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 105   
502   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 106   
504   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 107   
506   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 108   
508   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 109   
510   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 110   
512   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 111   
514   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 112   
516   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 113   
518   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 114   
520   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 115   
522   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 116   
524   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 117   
526   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 118   
528   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 119   
530   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 120   
532   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 121   
534   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 122   
536   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 123   
538   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 124   
540   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 125   
542   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 126   
